Order_ID,Order_Date,Customer_ID,Customer_Name,City,State,Category,Product,Brand,Quantity,MRP,Discount_Percent,Sale_Rate,Sales_Amount,Cost,Profit,Payment_Method,Salesperson,Order_Status
ORD100001,2025-07-09 00:00:00,CUST1152,Aditya Singh,Nagpur,Maharashtra,Home Care,Glass Cleaner,Tata,7,250,5,237.5,1662.5,1163.75,498.75,Cash,Pooja,Completed
ORD100002,2025-05-29 00:00:00,CUST1170,Kavya Verma,Kota,Rajasthan,Beverages,Soft Drink,Patanjali,4,250,12,220,880,599.64,280.36,UPI,Pooja,Completed
ORD100003,2025-04-14 00:00:00,CUST1242,Priya Mehta,Pune,Maharashtra,Snacks,Chips,Britannia,5,200,15,170,0,580.25,0,Cash,Neha,Returned
ORD100004,2025-04-02 00:00:00,CUST1054,Priya Gupta,Surat,Gujarat,Beverages,Green Tea,P&G,7,50,12,44,308,233.52,74.48,Cash,Neha,Completed
ORD100005,2025-10-25 00:00:00,CUST1237,Vivaan Joshi,Vadodara,Gujarat,Personal Care,Toothpaste,P&G,6,120,8,110.4,662.4,456.42,205.98,UPI,Amit,Completed
ORD100006,2025-06-02 00:00:00,CUST1139,Aditya Sharma,Khandwa,Madhya Pradesh,Snacks,Biscuits,Patanjali,1,120,0,120,120,100.13,19.87,Debit Card,Rohan,Completed
ORD100007,2025-05-18 00:00:00,CUST1062,Vikas Joshi,Ahmedabad,Gujarat,Personal Care,Shampoo,Nestle,4,120,0,120,480,386.24,93.76,Debit Card,Sneha,Completed
ORD100008,2026-01-08 00:00:00,CUST1207,Meera Jain,Jaipur,Rajasthan,Home Care,Glass Cleaner,HUL,1,80,2,78.4,78.4,57.01,21.39,Cash,Vikas,Completed
ORD100009,2025-04-29 00:00:00,CUST1036,Pooja Agrawal,Indore,Madhya Pradesh,Beverages,Soft Drink,ITC,6,80,15,68,408,326.76,81.24,UPI,Sneha,Completed
ORD100010,2026-02-25 00:00:00,CUST1128,Priya Agrawal,Kota,Rajasthan,Snacks,Biscuits,Tata,6,500,8,460,2760,1997.4,762.6,Net Banking,Sneha,Completed
ORD100011,2025-08-15 00:00:00,CUST1165,Aarav Verma,Indore,Madhya Pradesh,Home Care,Dishwash,ITC,5,200,5,190,950,647.3,302.7,UPI,Rohan,Completed
ORD100012,2025-07-22 00:00:00,CUST1101,Aarav Khan,Indore,Madhya Pradesh,Beverages,Tea,Patanjali,2,60,8,55.2,110.4,80.64,29.76,Cash,Amit,Completed
ORD100013,2025-12-03 00:00:00,CUST1203,Vikas Sharma,Kota,Rajasthan,Snacks,Biscuits,Patanjali,3,40,10,36,0,84,0,Debit Card,Vikas,Returned
ORD100014,2025-08-26 00:00:00,CUST1252,Ananya Gupta,Nashik,Maharashtra,Baby Care,Baby Powder,Patanjali,1,500,5,475,475,340.72,134.28,Cash,Rohan,Completed
ORD100015,2025-08-29 00:00:00,CUST1298,Aditya Agrawal,Surat,Gujarat,Beverages,Tea,Patanjali,7,40,0,40,280,228.27,51.73,Debit Card,Neha,Completed
ORD100016,2026-01-29 00:00:00,CUST1208,Aditya Gupta,Jaipur,Rajasthan,Personal Care,Face Wash,Tata,5,300,15,255,1275,953.45,321.55,Net Banking,Amit,Completed
ORD100017,2026-03-04 00:00:00,CUST1194,Rohan Verma,Pune,Maharashtra,Grocery,Sugar,Parle,4,50,12,44,0,152.76,0,Debit Card,Amit,Returned
ORD100018,2025-04-22 00:00:00,CUST1238,Sneha Singh,Khandwa,Madhya Pradesh,Grocery,Toor Dal,ITC,7,50,0,50,350,259.56,90.44,Net Banking,Rohan,Completed
ORD100019,2026-02-11 00:00:00,CUST1147,Arjun Verma,Udaipur,Rajasthan,Home Care,Floor Cleaner,Tata,6,30,8,27.6,0,134.76,0,Debit Card,Amit,Cancelled
ORD100020,2026-01-27 00:00:00,CUST1181,Meera Verma,Kota,Rajasthan,Snacks,Dry Fruits,Parle,3,500,0,500,1500,1305.93,194.07,Net Banking,Pooja,Completed
ORD100021,2025-09-21 00:00:00,CUST1280,Vivaan Singh,Ujjain,Madhya Pradesh,Grocery,Cooking Oil,Dabur,1,250,15,212.5,0,180.38,0,UPI,Rohan,Returned
ORD100022,2026-03-21 00:00:00,CUST1013,Kavya Jain,Bhopal,Madhya Pradesh,Grocery,Basmati Rice,Nestle,3,100,15,85,255,188.37,66.63,Cash,Pooja,Completed
ORD100023,2026-03-08 00:00:00,CUST1051,Neha Jain,Ahmedabad,Gujarat,Baby Care,Diapers,HUL,7,500,2,490,3430,2396.87,1033.13,UPI,Vikas,Completed
ORD100024,2025-12-20 00:00:00,CUST1053,Kavya Joshi,Vadodara,Gujarat,Baby Care,Baby Lotion,ITC,2,100,15,85,170,127.84,42.16,UPI,Sneha,Completed
ORD100025,2025-07-29 00:00:00,CUST1275,Kavya Jain,Khandwa,Madhya Pradesh,Baby Care,Baby Powder,Britannia,4,40,8,36.8,147.2,121.12,26.08,Cash,Vikas,Completed
ORD100026,2025-08-04 00:00:00,CUST1118,Neha Khan,Jabalpur,Madhya Pradesh,Grocery,Sugar,Tata,1,250,2,245,245,174.27,70.73,Net Banking,Amit,Completed
ORD100027,2025-10-02 00:00:00,CUST1285,Sneha Joshi,Udaipur,Rajasthan,Snacks,Dry Fruits,Britannia,3,500,2,490,1470,1104.27,365.73,Cash,Sneha,Completed
